Date,Y,ft1,ft11
1964-02-12,1.281281,245856.0,0.259081663
1964-02-13,1.275921,182208.0,0.279085448
1964-02-14,1.27056,151008.0,0.28405649
1964-02-17,1.256264,169728.0,0.310295106
1964-02-18,1.250903,188448.0,0.305054042
1964-02-19,1.249116,165984.0,0.309436307
1964-02-20,1.250903,122304.0,0.301008326
1964-02-24,1.225884,228384.0,0.316557035
1964-02-25,1.218736,326976.0,0.290086667
1964-02-26,1.225884,156000.0,0.267952176
1964-02-27,1.227671,136032.0,0.209601521
1964-02-28,1.224097,138528.0,0.173246
1964-03-02,1.231245,151008.0,0.189926291
1964-03-03,1.24018,185952.0,0.197605227
1964-03-04,1.247329,163488.0,0.211218166
1964-03-05,1.241967,148512.0,0.202938236
1964-03-06,1.243755,292032.0,0.205049884
1964-03-09,1.250903,284544.0,0.219654468
1964-03-10,1.278597,576576.0,0.207807657
1964-03-11,1.298378,853632.0,0.20092163
1964-03-12,1.294781,319488.0,0.217763131
1964-03-13,1.289387,194688.0,0.19571798
1964-03-16,1.289387,172224.0,0.189868592
1964-03-17,1.298378,297024.0,0.22009355
1964-03-18,1.282193,192192.0,0.189525397
1964-03-19,1.273202,219648.0,0.215888387
1964-03-20,1.258816,199680.0,0.205892361
1964-03-23,1.246227,244608.0,0.208491872
1964-03-24,1.235436,210912.0,0.193497917
1964-03-25,1.226446,232128.0,0.209929402
1964-03-26,1.246227,190944.0,0.194055141
1964-03-30,1.248024,162240.0,0.166558929
1964-03-31,1.255219,179712.0,0.161809299
1964-04-01,1.275,173472.0,0.175125496
1964-04-02,1.266009,112320.0,0.174602061
1964-04-03,1.275,136032.0,0.180819549
1964-04-06,1.269605,107328.0,0.197532086
1964-04-07,1.255219,141024.0,0.170370444
1964-04-08,1.257017,112320.0,0.171046622
1964-04-09,1.251623,128544.0,0.183894532
1964-04-10,1.244429,129792.0,0.193269361
1964-04-13,1.237236,170976.0,0.206581154
1964-04-14,1.23364,103584.0,0.216360065
1964-04-15,1.23364,184704.0,0.231422132
1964-04-16,1.23184,183456.0,0.210423307
1964-04-17,1.239033,229632.0,0.202123692
1964-04-20,1.24263,185952.0,0.195086268
1964-04-21,1.240832,280800.0,0.198693592
1964-04-22,1.237236,124800.0,0.200532101
1964-04-23,1.23364,122304.0,0.20216844
1964-04-24,1.221051,195936.0,0.208917747
1964-04-27,1.195874,368160.0,0.230459283
1964-04-28,1.210261,229632.0,0.224459979
1964-04-29,1.199471,316992.0,0.19774978
1964-04-30,1.185085,401856.0,0.208745052
1964-05-01,1.197673,217152.0,0.207381876
1964-05-04,1.197673,227136.0,0.192562442
1964-05-05,1.186883,202176.0,0.190821235
1964-05-06,1.18868,170976.0,0.231835442
1964-05-07,1.195874,175968.0,0.233093368
1964-05-08,1.192278,174720.0,0.233177968
1964-05-11,1.18868,223392.0,0.249169044
1964-05-12,1.159909,287040.0,0.266056358
1964-05-13,1.176094,330720.0,0.27564841
1964-05-14,1.199471,361920.0,0.267052695
1964-05-15,1.201269,245856.0,0.251900635
1964-05-18,1.206664,267072.0,0.2460118
1964-05-19,1.183288,212160.0,0.242369706
1964-05-20,1.18868,267072.0,0.262314948
1964-05-21,1.19048,316992.0,0.272216189
1964-05-22,1.19048,139776.0,0.284047147
1964-05-25,1.183288,154752.0,0.277380786
1964-05-26,1.167102,173472.0,0.280714366
1964-05-27,1.167102,259584.0,0.294288628
