Date,Y,ft1,ft2,ft3,ft4,ft5,ft6,ft7,ft8,ft9,ft10,ft11,ft12,ft13,ft14,ft15
1988-01-12,11.484556,3309228.0,-0.092608435,0.001524773,-0.358890541,-0.009176862,-0.002383349,-0.008608059,0.011592825,0.001080357,0.005694378,1.550763647,0.028618445,0.008524434,0.014930862,-0.013324691
1988-01-13,11.54981,2842008.0,-0.141187008,-0.000573333,0.096835986,-0.002865144,0.000326834,-0.015363642,0.038439716,0.015552422,0.037349098,1.547814444,-0.00977674,-0.013117107,-0.009456447,-0.016724104
1988-01-14,11.615065,1856868.0,-0.346635196,0.001084612,0.282019938,-0.002859979,-0.001234811,-0.015729286,0.023237669,0.001013821,0.002368182,1.548480465,0.003034577,-0.014981464,-0.013076706,-0.000398782
1988-01-15,12.071838,4195152.0,1.259262371,-0.000874803,0.046374919,0.012339156,0.003532899,0.002108104,0.019780022,0.002274268,0.007262882,1.532117131,-0.016191279,0.004503218,-0.008487183,0.011876529
1988-01-18,12.071838,1328028.0,-0.683437454,0.001291704,0.273392491,-0.002721828,-0.004993971,0.014202852,0.052669845,0.018739957,0.005306063,1.553895281,-0.020103243,0.020391809,0.013448258,-0.001672624
1988-01-19,11.876081,2011308.0,0.514507224,-0.000938087,0.329266785,-0.008133954,-0.000501962,-0.013894573,0.006800148,0.001524104,0.038848086,1.533046977,-0.017862311,0.009842363,0.004083227,0.02831748
1988-01-20,11.354051,2592408.0,0.288916466,0.000968384,0.157018194,-0.005974703,-0.00145931,0.004047125,0.023780393,0.010320725,0.021794393,1.517984028,0.027439349,0.015849635,0.011261069,-0.030413902
1988-01-21,11.288802,2705352.0,0.043567216,-0.000312961,0.178566447,-0.002417392,-0.005603166,0.014692538,0.020251712,0.028663535,0.003120042,1.528839503,-0.008101396,-0.008906695,-0.020025703,0.00207545
1988-01-22,11.54981,1851408.0,-0.315649867,0.000958141,0.286913799,-0.003903276,0.001456809,-0.01016438,0.0700028,0.011138501,0.016040172,1.558515179,-0.017887502,-0.02268592,0.043696535,0.009910705
1988-01-25,11.54981,2043600.0,0.103808561,0.000882135,-0.180450317,-0.000511981,-0.00599657,-0.018894557,0.016017806,0.00655662,0.010602939,1.540153013,-0.004972282,-0.03074835,0.022344381,0.004449182
1988-01-26,11.321429,1377168.0,-0.32610687,0.000491635,0.455346463,-0.007613434,0.000124441,0.004803089,0.005487173,0.007353549,0.003035914,1.541254846,-0.002311637,-0.001350251,0.023767744,0.002676014
1988-01-27,11.125668,2168400.0,0.574535569,-0.001029681,-0.219887042,-0.003242789,-0.00905878,0.003993921,0.000879483,0.004710464,0.003323797,1.528912224,0.01207334,-0.017812181,0.00296175,-0.00528033
1988-01-28,11.517191,1872000.0,-0.136690647,-7.93e-05,-0.591138668,0.000277904,-0.004305407,0.007627773,0.007670836,0.026112003,0.026580052,1.529579183,-0.000448045,0.019976386,-0.006115341,0.008073695
1988-01-29,11.778202,2526420.0,0.349583333,-0.000321047,0.268612614,-0.0008075,0.005747487,-0.027361593,0.003902892,0.038838035,0.00468925,1.530243322,-0.014067954,0.026871711,0.029596372,0.005400187
1988-02-01,11.484556,1840800.0,-0.271380056,0.001013407,0.10566765,0.006840196,-0.003159285,0.017839867,0.000207948,0.024914212,0.029228621,1.533036924,-0.000412973,0.012451711,-0.010872729,-0.024468979
1988-02-02,11.517191,2114892.0,0.148898305,7.94e-05,-0.195487276,0.000454424,-0.005933722,-0.012965098,0.007005099,0.023560038,0.000318414,1.525565308,-0.003996978,-0.021931286,0.02460312,0.018235525
1988-02-03,11.223545,2418936.0,0.143763369,0.001313212,0.059944749,-0.003269838,0.004825612,0.013709444,0.048970212,0.02240193,0.026211041,1.551233936,0.03323525,0.020818503,0.026312905,0.030622132
1988-02-04,11.354051,2287272.0,-0.054430543,-0.000958748,-0.121868512,0.004223883,0.001730895,-0.025719398,0.022186083,0.047269671,0.03262997,1.560476972,0.016881055,0.011031244,0.015543867,0.006382938
